App_ID,In Development Name,Marketed Name,Region,Category,Expected Revenue Source,Expected Revenue Amount,Current Development Step,Development Start Date,Current Cost
1,Phoenix,,Worldwide,Food & Drink,In-App Ads,147073,Testing,2018-05-03,7040
2,Deer Park,Lk,Worldwide,Business,Subscription - Daily,69605,Bug fixing,2017-07-24,39340
3,Bon Echo,Strng Crg,China,Games,In-App Ads with Paid Ability to Remove Ads,255214,Marketing,2017-03-12,36400
4,Gran Paradiso,Mngs,USA,Photo & Video,Subscription - Weekly,128098,Soft Release,2019-04-22,14022
5,Shiretoko,Vmn,USA,Food & Drink,Subscription - Daily,47084,Soft Release,2015-06-25,7416
6,Namoroka,,Worldwide,Photo & Video,Subscription - Daily,81421,Development,2016-11-22,4248
7,Janus,,USA,Photo & Video,Subscription - Daily,77723,Testing,2019-11-07,2328
8,Snowball,,Worldwide,Business,In-App Ads,174537,Development,2016-06-06,3558
9,Chicago,,Worldwide,Photo & Video,Paid App,179251,Testing,2017-08-18,0
10,O’Hare,,Europe,Business,Subscription - Weekly,71245,App Brainstorming,2019-03-31,0
11,Memphis,,Worldwide,Business,Subscription - Monthly,151082,Revenue Brainstorming,2019-06-10,1620
12,Daytona,,Worldwide,Health & Fitness,Subscription - Monthly,158325,Testing,2017-08-29,5424
13,Cairo,,Worldwide,Games,Subscription - Monthly,190791,Development,2015-07-12,1500
14,Whistler,Evns,Europe,Shopping,Paid App,98554,Release,2016-07-05,56120
15,Longhorn,,Worldwide,Social Networking,Subscription - Yearly,145269,Revenue Brainstorming,2016-09-22,0
16,Vienna,,USA,Business,Subscription - Yearly,95224,Development,2019-02-04,2262
17,Blue,,Worldwide,Health & Fitness,Subscription - Monthly,144936,Wireframing,2019-06-02,1532
18,Threshold,,Worldwide,Shopping,Subscription - Weekly,125640,App Brainstorming,2019-04-19,0
19,Redstone,Crnnns,USA,Social Networking,In-App Ads,179171,Marketing,2016-07-16,1625
20,Warty Warthog,,Worldwide,Social Networking,Subscription - Daily,104064,Testing,2018-10-06,0
21,Hoary Hedgehog,,Worldwide,Games,Subscription - Daily,137320,Testing,2016-07-24,0
22,Breezy Badger,,Worldwide,Food & Drink,Subscription - Monthly,128550,Revenue Brainstorming,2017-11-29,1508
23,Dapper Drake,Wlx,USA,Food & Drink,Subscription - Yearly,66038,Bug fixing,2019-03-27,3241
24,Edgy Eft,,Worldwide,Food & Drink,Subscription - Weekly,104315,Revenue Brainstorming,2018-03-17,0
25,Feisty Fawn,,USA,Games,In-App Ads with Paid Ability to Remove Ads,200896,Testing,2019-03-04,5516
26,Gutsy Gibbon,,USA,Health & Fitness,Subscription - Weekly,97002,Wireframing,2019-07-11,3056
27,Hardy Heron,Ssn,Worldwide,Games,In-App Ads with Paid Ability to Remove Ads,233575,Bug fixing,2019-02-12,10080
28,Intrepid Ibex,Stnhng,Worldwide,Social Networking,Subscription - Daily,98066,Soft Release,2015-01-07,15240
29,Jaunty Jackalope,Rd Pll,USA,Health & Fitness,Subscription - Daily,23602,Soft Release,2017-04-10,17112
30,Karmic Koala,,Worldwide,Games,Subscription - Monthly,189661,Wireframing,2018-12-06,2856
31,Lucid Lynx,,Worldwide,Health & Fitness,Subscription - Monthly,145925,App Brainstorming,2015-08-15,0
32,Maverick Meerkat,,Worldwide,Social Networking,Paid App,172237,App Brainstorming,2019-05-31,0
33,Natty Narwhal,Ssn,Worldwide,Health & Fitness,Paid App,144986,Marketing,2018-07-18,15195
34,Oneiric Ocelot,,Worldwide,Health & Fitness,Subscription - Weekly,126286,App Brainstorming,2019-09-10,0
35,Precise Pangolin,,Worldwide,Business,Subscription - Weekly,117867,App Brainstorming,2017-12-31,0
36,Quantal Quatzal,,USA,Social Networking,Subscription - Monthly,163384,Development,2019-05-16,480
37,Raring Ringtail,Olrn,China,Food & Drink,In-App Ads,167306,Soft Release,2019-08-31,0
38,Saucy Salamander,Strtch,USA,Business,Subscription - Daily,39177,Marketing,2019-05-06,1950
39,Trusty Tahr,Ntty Nrwhl,USA,Social Networking,Subscription - Yearly,128111,Soft Release,2018-03-10,15600
40,Utopic Unicorn,,Worldwide,Games,Subscription - Weekly,175344,Development,2017-10-18,8436
