Engagement ID,Dev_ID,App_ID
1,1,32
2,1,4
3,2,57
4,2,27
5,2,60
6,3,12
7,3,23
8,3,17
9,3,11
10,4,40
11,4,24
12,5,1
13,5,50
14,6,2
15,6,33
16,7,43
17,7,22
18,7,14
19,7,54
20,8,11
21,8,33
22,8,50
23,8,3
24,9,13
25,9,60
26,9,12
27,10,6
28,10,51
29,10,56
30,11,40
31,11,38
32,11,8
33,11,37
34,12,2
35,12,2
36,12,53
37,12,5
38,13,4
39,13,4
40,13,14
41,13,4
42,14,53
43,14,1
44,15,11
45,15,4
46,15,50
47,16,2
48,17,48
49,18,32
50,18,1
51,18,43
52,18,38
53,18,6
54,19,38
55,19,55
56,19,55
57,19,55
58,20,49
59,21,57
60,21,32
61,22,51
62,22,1
63,23,27
64,24,11
65,25,22
66,25,47
67,26,59
68,27,2
69,27,60
70,27,47
71,28,2
72,28,6
73,29,37
74,30,55
75,30,24
76,30,37
77,30,55
78,31,1
79,31,5
80,31,1
81,31,2
82,32,35
83,32,52
84,33,27
85,34,31
86,34,23
87,34,16
88,35,13
89,35,55
90,35,23
91,35,38
92,36,24
93,36,60
94,36,25
95,36,57
96,37,13
97,37,43
98,37,6
99,37,32
100,37,57
101,38,52
102,38,53
103,38,25
104,39,46
105,39,2
106,39,11
107,39,38
108,40,12
109,40,55
110,41,30
111,41,25
112,42,55
113,42,56
114,42,45
115,43,59
116,43,19
117,44,12
118,45,32
119,45,60
120,46,6
121,47,6
122,47,6
123,47,55
124,47,57
125,47,2
126,48,3
127,48,4
128,48,6
129,48,5
130,48,12
131,49,55
132,49,25
133,49,53
134,49,11
135,49,57
136,50,12
137,50,14
138,50,37
139,50,34
140,50,13
141,51,2
142,51,36
143,51,6
144,51,23
145,52,14
146,52,6
147,53,11
148,53,38
149,53,2
150,54,31
151,54,18
152,55,22
153,55,48
154,55,59
155,56,13
156,57,38
157,57,24
158,57,51
159,57,12
160,58,55
161,59,60
162,59,3
163,60,6
164,60,12
165,61,33
166,61,24
167,61,32
168,62,23
169,63,12
170,63,46
171,63,55
172,63,17
173,64,53
174,64,53
175,65,25
176,65,3
177,65,1
178,65,48
179,66,14
180,66,3
181,66,14
182,66,1
183,67,51
184,67,60
185,67,38
186,67,25
187,67,6
188,68,60
189,68,12
190,68,16
191,68,14
192,68,1
193,69,4
194,69,3
195,70,1
196,70,17
197,70,32
198,70,22
199,71,2
200,71,5
201,72,33
202,72,53
203,73,43
204,73,53
205,73,8
206,74,3
207,74,6
208,74,60
209,75,34
210,75,35
211,76,13
212,77,4
213,77,14
214,77,24
215,77,23
216,78,27
217,78,25
218,78,33
219,79,2
220,79,16
221,80,58
222,80,7
223,80,5
224,81,52
225,81,33
226,81,3
227,81,7
228,81,53
229,82,12
230,82,38
231,82,2
232,82,3
233,82,6
234,83,13
235,83,14
236,83,53
237,84,56
238,84,33
239,85,9
240,85,1
241,85,24
242,85,18
243,85,33
244,86,6
245,86,5
246,86,24
247,86,13
248,86,14
249,87,21
250,87,27
251,87,24
252,87,50
253,88,59
254,88,10
255,89,6
256,89,3
257,89,50
258,89,37
259,90,30
260,90,5
261,91,53
262,92,6
263,92,3
264,92,55
265,92,13
266,93,5
267,93,52
268,93,52
269,94,36
270,94,23
271,94,9
272,95,14
273,95,12
274,95,56
275,96,9
276,96,7
277,96,19
278,96,56
279,97,6
280,97,11
281,97,53
282,97,11
283,98,6
284,98,3
285,98,12
286,98,5
287,98,12
288,99,59
289,99,45
290,99,8
291,100,23
292,100,4
293,100,5
294,100,23
295,101,60
296,102,37
297,103,12
298,103,1
299,103,50
300,103,57
301,104,41
302,105,40
303,105,50
304,105,48
305,106,3
306,107,37
307,107,55
308,107,12
309,107,5
310,107,2
311,108,59
312,108,34
313,109,33
314,110,46
315,110,51
316,111,15
317,112,3
318,112,12
319,113,17
320,113,26
321,113,7
322,113,40
323,114,56
324,114,9
325,114,50
326,115,40
327,115,13
328,115,51
329,116,19
330,117,27
331,118,53
332,118,5
333,119,4
334,119,57
335,119,17
336,120,1
337,120,56
338,120,38
339,120,11
340,120,51
341,121,32
342,121,13
343,121,1
344,121,53
345,121,37
346,122,9
347,122,1
348,122,29
349,122,14
350,123,12
351,123,4
352,124,53
353,124,57
354,125,24
355,126,4
356,126,27
357,127,49
358,127,5
359,127,53
360,127,32
361,128,50
362,128,23
363,128,16
364,129,15
365,129,28
366,129,52
367,129,60
368,130,3
369,130,11
370,130,14
371,131,53
372,131,14
373,131,6
374,131,37
375,132,12
376,132,51
377,132,55
378,132,25
379,133,60
380,133,14
381,133,57
382,133,28
383,134,10
384,134,12
385,135,13
386,135,13
387,136,12
388,137,57
389,137,28
390,137,11
391,137,33
392,137,4
393,138,17
394,138,28
395,138,37
396,138,11
397,139,37
398,139,38
399,139,32
400,139,27
401,139,14
402,140,57
403,140,19
404,141,6
405,141,27
406,141,57
407,141,53
408,142,53
409,142,57
410,142,12
411,142,24
412,142,14
413,143,2
414,143,3
415,143,2
416,143,6
417,144,4
418,145,60
419,145,28
420,145,16
421,145,33
422,145,19
423,146,33
424,146,53
425,146,21
426,146,28
427,146,47
428,147,11
429,147,1
430,147,55
431,147,14
432,148,55
433,148,55
434,148,55
435,148,32
436,148,3
437,149,3
438,149,1
439,150,60
440,150,11
441,150,24
442,150,28
443,151,40
444,151,25
445,151,27
446,151,57
447,151,48
448,152,57
449,152,53
450,152,13
451,153,46
452,153,38
453,154,55
454,155,32
455,155,3
456,155,38
457,155,50
458,156,36
459,156,25
460,156,10
461,156,53
462,157,50
463,157,47
464,157,59
465,158,15
466,158,49
